ref,info
366370651,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366370764,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366374711,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366375698,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366376465,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366383255,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366383451,"<tag k=""crossing"" v=""traffic_signals""/><tag k=""highway"" v=""traffic_signals""/><tag k=""traffic_signals:direction"" v=""forward""/>"
366386678,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366387791,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366388361,"<tag k=""highway"" v=""traffic_signals""/>"
366388784,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366391993,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366401615,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366402497,"<tag k=""highway"" v=""traffic_signals""/>"
366404499,"<tag k=""access"" v=""permissive""/><tag k=""barrier"" v=""gate""/>"
366404688,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366411922,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366412574,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366414661,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366429493,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366430773,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366433084,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366436202,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366439334,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366440098,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366440357,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366441812,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366444934,"<tag k=""noexit"" v=""yes""/>"
366445204,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366449577,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366450380,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366451638,"<tag k=""access"" v=""no""/><tag k=""barrier"" v=""gate""/>"
366451729,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366454588,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366462304,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366462814,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366464068,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366464635,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366464743,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366468614,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366469410,"<tag k=""highway"" v=""traffic_signals""/>"
366471318,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366473590,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366474021,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
366478989,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
369486734,"<tag k=""alt_name"" v=""Sài Gòn""/><tag k=""alt_name:en"" v=""Saigon""/><tag k=""alt_name:ko"" v=""사이공""/><tag k=""alt_name:zh"" v=""西贡""/><tag k=""capital"" v=""4""/><tag k=""name"" v=""Thành phố Hồ Chí Minh""/><tag k=""name:ar"" v=""مدينة هو تشي منه""/><tag k=""name:cjm-Latn"" v=""Madin Hồ Chí Minh""/><tag k=""name:ckb"" v=""هۆشی‌مین""/><tag k=""name:cs"" v=""Ho Či Minovo Město""/><tag k=""name:de"" v=""Ho-Chi-Minh-Stadt""/><tag k=""name:el"" v=""Χο Τσι Μιν""/><tag k=""name:en"" v=""Ho Chi Minh City""/><tag k=""name:es"" v=""Ciudad Ho Chi Minh""/><tag k=""name:et"" v=""Hồ Chí Minh""/><tag k=""name:eu"" v=""Ho Chi Minh Hiria""/><tag k=""name:fa"" v=""هوشی‌مین""/><tag k=""name:fr"" v=""Hô Chi Minh-Ville""/><tag k=""name:he"" v=""הו צ&#39;י מין סיטי""/><tag k=""name:hr"" v=""Grad Ho Chi Minh""/><tag k=""name:id"" v=""Kota Ho Chi Minh""/><tag k=""name:it"" v=""Città di Ho Chi Minh""/><tag k=""name:ja"" v=""ホーチミン市""/><tag k=""name:km"" v=""ទីក្រុង​ហូ​ជី​មិញ""/><tag k=""name:ko"" v=""호찌민""/><tag k=""name:lv"" v=""Hočimina""/><tag k=""name:ml"" v=""ഹോ ചി മിൻ നഗരം""/><tag k=""name:ms"" v=""Bandaraya Ho Chi Minh""/><tag k=""name:nl"" v=""Ho Chi Minhstad""/><tag k=""name:oc"" v=""Hô Chi Minh Vila""/><tag k=""name:ru"" v=""Хошимин""/><tag k=""name:sk"" v=""Hočiminovo Mesto""/><tag k=""name:th"" v=""นครโฮจิมินห์""/><tag k=""name:vi"" v=""Thành phố Hồ Chí Minh""/><tag k=""name:vi-Hani"" v=""城庯胡志明""/><tag k=""name:vi-US"" v=""Sài Gòn""/><tag k=""name:zh"" v=""胡志明市""/><tag k=""note"" v=""&#34;Thành phố&#34; or &#34;City&#34; is often being added to prevent confusion with the Hồ Chí Minh person itself. Don&#39;t remove it""/><tag k=""official_name"" v=""Ho Chi Minh City""/><tag k=""official_name:en"" v=""Ho Chi Minh City""/><tag k=""official_name:vi"" v=""Thành phố Hồ Chí Minh""/><tag k=""old_name"" v=""Saigon""/><tag k=""old_name:cjm-Latn"" v=""Baigaor""/><tag k=""old_name:cs"" v=""Saigon""/><tag k=""old_name:de"" v=""Saigon""/><tag k=""old_name:en"" v=""Saigon""/><tag k=""old_name:fr"" v=""Saïgon""/><tag k=""old_name:hr"" v=""Saigon""/><tag k=""old_name:it"" v=""Saigon""/><tag k=""old_name:ko"" v=""사이공""/><tag k=""old_name:la"" v=""Saigonia""/><tag k=""old_name:lv"" v=""Saigona""/><tag k=""old_name:pronunciation"" v=""ʂaːj˨˩␣ɣɔŋ˨˩""/><tag k=""old_name:ru"" v=""Сайгон""/><tag k=""old_name:th"" v=""ไซ่ง่อน""/><tag k=""old_name:vi"" v=""Sài Gòn""/><tag k=""old_name:vi-Hani"" v=""柴棍""/><tag k=""old_name:zh"" v=""西貢市""/><tag k=""place"" v=""city""/><tag k=""population"" v=""9166800""/><tag k=""population:date"" v=""2022""/><tag k=""rank"" v=""0""/><tag k=""ref"" v=""TPHCM""/><tag k=""short_name"" v=""Tp. HCM;HCM;SG""/><tag k=""short_name:en"" v=""HCMC;SG""/><tag k=""short_name:vi"" v=""Tp. HCM;HCM;SG""/><tag k=""source:name:oc"" v=""Lo Congrès""/><tag k=""source:population"" v=""national survey""/><tag k=""website"" v=""https://www.hochiminhcity.gov.vn/""/><tag k=""wikidata"" v=""Q1854""/><tag k=""wikipedia"" v=""vi:Thành phố Hồ Chí Minh""/>"
383516681,"<tag k=""highway"" v=""traffic_signals""/>"
383552890,"<tag k=""bus"" v=""yes""/><tag k=""highway"" v=""bus_stop""/><tag k=""name"" v=""Cầu Nguyễn Văn Cừ""/><tag k=""public_transport"" v=""platform""/>"
411917837,"<tag k=""crossing"" v=""traffic_signals""/><tag k=""highway"" v=""crossing""/>"
