ref,info
49915,"<member type=""relation"" ref=""3770621"" role=""subarea""/><tag k=""ISO3166-1"" v=""VN""/><tag k=""ISO3166-1:alpha2"" v=""VN""/><tag k=""ISO3166-1:alpha3"" v=""VNM""/><tag k=""ISO3166-1:numeric"" v=""704""/><tag k=""admin_level"" v=""2""/><tag k=""alt_name:eo"" v=""Vjetnamujo""/><tag k=""alt_name:pt"" v=""Vietnã""/><tag k=""boundary"" v=""administrative""/><tag k=""default_language"" v=""vi""/><tag k=""driving_side"" v=""right""/><tag k=""flag"" v=""http://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg""/><tag k=""int_name"" v=""Viet Nam""/><tag k=""name"" v=""Việt Nam""/><tag k=""name:ace"" v=""Viètnam""/><tag k=""name:af"" v=""Viëtnam""/><tag k=""name:ak"" v=""Vietnam""/><tag k=""name:als"" v=""Vietnam""/><tag k=""name:am"" v=""ቬት ናም""/><tag k=""name:an"" v=""Vietnam""/><tag k=""name:ang"" v=""Fietnam""/><tag k=""name:ar"" v=""فيتنام""/><tag k=""name:arz"" v=""فييتنام""/><tag k=""name:ast"" v=""Vietnam""/><tag k=""name:av"" v=""Вьетнам""/><tag k=""name:ay"" v=""Vietnam""/><tag k=""name:az"" v=""Vyetnam""/><tag k=""name:ba"" v=""Вьетнам""/><tag k=""name:bar"" v=""Vietnam""/><tag k=""name:bat-smg"" v=""Vietnams""/><tag k=""name:bcl"" v=""Bietnam""/><tag k=""name:be"" v=""В&#39;етнам""/><tag k=""name:be-tarask"" v=""Віетнам""/><tag k=""name:bg"" v=""Виетнам""/><tag k=""name:bi"" v=""Vietnam""/><tag k=""name:bjn"" v=""Vietnam""/><tag k=""name:bm"" v=""Vietnam""/><tag k=""name:bn"" v=""ভিয়েতনাম""/><tag k=""name:bo"" v=""ཝི་ཏི་ནམ།""/><tag k=""name:bpy"" v=""ভিয়েতনাম""/><tag k=""name:br"" v=""Viêt Nam""/><tag k=""name:bs"" v=""Vijetnam""/><tag k=""name:bug"" v=""Vietnam""/><tag k=""name:bxr"" v=""Вьетнам""/><tag k=""name:ca"" v=""Vietnam""/><tag k=""name:cbk-zam"" v=""Vietnam""/><tag k=""name:cdo"" v=""Yue Nam""/><tag k=""name:ce"" v=""Вьетнам""/><tag k=""name:ceb"" v=""Vietnam""/><tag k=""name:ch"" v=""Vietnam""/><tag k=""name:chy"" v=""Vietnam""/><tag k=""name:ckb"" v=""ڤیێتنام""/><tag k=""name:crh"" v=""Vyetnam""/><tag k=""name:cs"" v=""Vietnam""/><tag k=""name:csb"" v=""Wietnam""/><tag k=""name:cv"" v=""Вьетнам""/><tag k=""name:cy"" v=""Fietnam""/><tag k=""name:da"" v=""Vietnam""/><tag k=""name:de"" v=""Vietnam""/><tag k=""name:diq"" v=""Vietnam""/><tag k=""name:dsb"" v=""Vietnam""/><tag k=""name:dv"" v=""ވިއެޓުނާމު""/><tag k=""name:ee"" v=""Vietnam""/><tag k=""name:el"" v=""Βιετνάμ""/><tag k=""name:eml"" v=""Vietnam""/><tag k=""name:en"" v=""Vietnam""/><tag k=""name:eo"" v=""Vjetnamio""/><tag k=""name:es"" v=""Vietnam""/><tag k=""name:et"" v=""Vietnam""/><tag k=""name:eu"" v=""Vietnam""/><tag k=""name:ext"" v=""Vietnam""/><tag k=""name:fa"" v=""ویتنام""/><tag k=""name:ff"" v=""Vietnam""/><tag k=""name:fi"" v=""Vietnam""/><tag k=""name:fo"" v=""Vjetnam""/><tag k=""name:fr"" v=""Viêt Nam""/><tag k=""name:frp"" v=""Viêt Nam""/><tag k=""name:frr"" v=""Vietnam""/><tag k=""name:fur"" v=""Vietnam""/><tag k=""name:fy"" v=""Fjetnam""/><tag k=""name:ga"" v=""Vítneam""/><tag k=""name:gag"" v=""Vyetnam""/><tag k=""name:gan"" v=""越南""/><tag k=""name:gd"" v=""Bhiet-Nam""/><tag k=""name:gl"" v=""Vietnam""/><tag k=""name:gn"" v=""Vietnam""/><tag k=""name:gu"" v=""વિયેતનામ""/><tag k=""name:gv"" v=""Yn Vietnam""/><tag k=""name:hak"" v=""Ye̍t-nàm""/><tag k=""name:haw"" v=""Wiekanama""/><tag k=""name:he"" v=""וייטנאם""/><tag k=""name:hi"" v=""वियतनाम""/><tag k=""name:hif"" v=""Vietnam""/><tag k=""name:hr"" v=""Vijetnam""/><tag k=""name:hsb"" v=""Vietnam""/><tag k=""name:ht"" v=""Vyetnam""/><tag k=""name:hu"" v=""Vietnám""/><tag k=""name:hy"" v=""Վիետնամ""/><tag k=""name:ia"" v=""Vietnam""/><tag k=""name:id"" v=""Vietnam""/><tag k=""name:ie"" v=""Viet-Nam""/><tag k=""name:ik"" v=""Vietnam""/><tag k=""name:ilo"" v=""Bietnam""/><tag k=""name:io"" v=""Vietnam""/><tag k=""name:is"" v=""Víetnam""/><tag k=""name:it"" v=""Vietnam""/><tag k=""name:ja"" v=""ベトナム""/><tag k=""name:jbo"" v=""gugdrvietnama""/><tag k=""name:jv"" v=""Viètnam""/><tag k=""name:ka"" v=""ვიეტნამი""/><tag k=""name:kaa"" v=""Vietnam""/><tag k=""name:kab"" v=""Vietnam""/><tag k=""name:kbd"" v=""Виетнам""/><tag k=""name:kg"" v=""Vietnam""/><tag k=""name:ki"" v=""Vietnam""/><tag k=""name:kk"" v=""Вьетнам""/><tag k=""name:kl"" v=""Vietnam""/><tag k=""name:km"" v=""វៀតណាម""/><tag k=""name:kn"" v=""ವಿಯೆಟ್ನಾಮ್""/><tag k=""name:ko"" v=""베트남""/><tag k=""name:krc"" v=""Вьетнам""/><tag k=""name:ksh"" v=""Vietnam""/><tag k=""name:ku"" v=""Viyetnam""/><tag k=""name:kv"" v=""Вьетнам""/><tag k=""name:kw"" v=""Vietnam""/><tag k=""name:ky"" v=""Вьетнам""/><tag k=""name:la"" v=""Vietnamia""/><tag k=""name:lad"" v=""Vietnam""/><tag k=""name:lb"" v=""Vietnam""/><tag k=""name:lez"" v=""Вьетнам""/><tag k=""name:li"" v=""Vietnam""/><tag k=""name:lij"" v=""Vietnam""/><tag k=""name:lmo"" v=""Vietnam""/><tag k=""name:ln"" v=""Vietnami""/><tag k=""name:lo"" v=""ປະເທດຫວຽດນາມ""/><tag k=""name:lt"" v=""Vietnamas""/><tag k=""name:ltg"" v=""Vjetnams""/><tag k=""name:lv"" v=""Vjetnama""/><tag k=""name:lzh"" v=""越南""/><tag k=""name:map-bms"" v=""Vietnam""/><tag k=""name:mdf"" v=""Виетнам""/><tag k=""name:mg"" v=""Vietnam""/><tag k=""name:mhr"" v=""Вьетнам""/><tag k=""name:mi"" v=""Witināma""/><tag k=""name:mk"" v=""Виетнам""/><tag k=""name:ml"" v=""വിയറ്റ്നാം""/><tag k=""name:mn"" v=""Вьетнам""/><tag k=""name:mr"" v=""व्हियेतनाम""/><tag k=""name:ms"" v=""Vietnam""/><tag k=""name:mt"" v=""Vjetnam""/><tag k=""name:mtq"" v=""Viêt Nam""/><tag k=""name:mwl"" v=""Bietname""/><tag k=""name:my"" v=""ဗီယက်နမ်နိုင်ငံ""/><tag k=""name:mzn"" v=""ویتنام""/><tag k=""name:na"" v=""Bitinam""/><tag k=""name:nah"" v=""Vietnam""/><tag k=""name:nan"" v=""Oa̍t-lâm""/><tag k=""name:nap"" v=""Vietnam""/><tag k=""name:nds"" v=""Vietnam""/><tag k=""name:nds-nl"" v=""Vietnam""/><tag k=""name:ne"" v=""भियतनाम""/><tag k=""name:nl"" v=""Vietnam""/><tag k=""name:nn"" v=""Vietnam""/><tag k=""name:no"" v=""Vietnam""/><tag k=""name:nov"" v=""Vietnam""/><tag k=""name:nrm"" v=""Vietnam""/><tag k=""name:nso"" v=""Vietnam""/><tag k=""name:nv"" v=""Biʼednam""/><tag k=""name:oc"" v=""Vietnam""/><tag k=""name:om"" v=""Veetinaam""/><tag k=""name:or"" v=""ଭିଏତନାମ""/><tag k=""name:os"" v=""Вьетнам""/><tag k=""name:pa"" v=""ਵੀਅਤਨਾਮ""/><tag k=""name:pag"" v=""Vietnam""/><tag k=""name:pam"" v=""Vietnam""/><tag k=""name:pap"" v=""Vietnam""/><tag k=""name:pcd"" v=""Vietnam""/><tag k=""name:pdc"" v=""Vietnam""/><tag k=""name:pfl"" v=""Vietnam""/><tag k=""name:pih"" v=""Wiyetnaam""/><tag k=""name:pl"" v=""Wietnam""/><tag k=""name:pms"" v=""Vietnam""/><tag k=""name:pnb"" v=""ویتنام""/><tag k=""name:pnt"" v=""Βιετνάμ""/><tag k=""name:pt"" v=""Vietname""/><tag k=""name:qu"" v=""Witnam""/><tag k=""name:rm"" v=""Vietnam""/><tag k=""name:rn"" v=""Vietnam""/><tag k=""name:ro"" v=""Vietnam""/><tag k=""name:roa-rup"" v=""Vietnam""/><tag k=""name:roa-tara"" v=""Vietnam""/><tag k=""name:ru"" v=""Вьетнам""/><tag k=""name:rue"" v=""Вєтнам""/><tag k=""name:rw"" v=""Viyetinamu""/><tag k=""name:sa"" v=""चम्पादेश""/><tag k=""name:sah"" v=""Вьетнам""/><tag k=""name:sc"" v=""Vietnam""/><tag k=""name:scn"" v=""Vietnam""/><tag k=""name:sco"" v=""Vietnam""/><tag k=""name:se"" v=""Vietnam""/><tag k=""name:sh"" v=""Vijetnam""/><tag k=""name:si"" v=""වියට්නාමය""/><tag k=""name:sk"" v=""Vietnam""/><tag k=""name:sl"" v=""Vietnam""/><tag k=""name:sm"" v=""Vietnam""/><tag k=""name:smn"" v=""Vietnam""/><tag k=""name:sms"" v=""Vietnaam""/><tag k=""name:sn"" v=""Vietnam""/><tag k=""name:so"" v=""Fiyetnam""/><tag k=""name:sq"" v=""Vietnami""/><tag k=""name:sr"" v=""Вијетнам""/><tag k=""name:srn"" v=""Vi-etnam""/><tag k=""name:ss"" v=""IViyethina""/><tag k=""name:st"" v=""Vietnam""/><tag k=""name:stq"" v=""Vietnam""/><tag k=""name:su"" v=""Viétnam""/><tag k=""name:sv"" v=""Vietnam""/><tag k=""name:sw"" v=""Vietnam""/><tag k=""name:szl"" v=""Wietnam""/><tag k=""name:ta"" v=""வியட்நாம்""/><tag k=""name:te"" v=""వియత్నాం""/><tag k=""name:tet"" v=""Vietname""/><tag k=""name:tg"" v=""Ветнам""/><tag k=""name:th"" v=""ประเทศเวียดนาม""/><tag k=""name:tk"" v=""Wýetnam""/><tag k=""name:tl"" v=""Vietnam""/><tag k=""name:tok"" v=""ma Wije""/><tag k=""name:tpi"" v=""Vietnam""/><tag k=""name:tr"" v=""Vietnam""/><tag k=""name:tt"" v=""Вьетнам""/><tag k=""name:tum"" v=""Vietnam""/><tag k=""name:tw"" v=""Vietnam""/><tag k=""name:tzl"" v=""Vietnam""/><tag k=""name:udm"" v=""Вьетнам""/><tag k=""name:ug"" v=""ۋيېتنام""/><tag k=""name:uk"" v=""В&#39;єтнам""/><tag k=""name:ur"" v=""ویتنام""/><tag k=""name:uz"" v=""Vyetnam""/><tag k=""name:ve"" v=""Viëtnam""/><tag k=""name:vec"" v=""Vietnam""/><tag k=""name:vep"" v=""Vjetnam""/><tag k=""name:vi"" v=""Việt Nam""/><tag k=""name:vi-Hani"" v=""越南""/><tag k=""name:vls"" v=""Vietnam""/><tag k=""name:vo"" v=""Vietnamän""/><tag k=""name:vro"" v=""Vietnam""/><tag k=""name:wa"" v=""Vietnam""/><tag k=""name:war"" v=""Vietnam""/><tag k=""name:wo"" v=""Wiyetnaam""/><tag k=""name:wuu"" v=""越南""/><tag k=""name:xal"" v=""Вьетдин Орн""/><tag k=""name:yi"" v=""וויעטנאם""/><tag k=""name:yo"" v=""Fiẹtnám""/><tag k=""name:yue"" v=""越南""/><tag k=""name:za"" v=""Yiednamz""/><tag k=""name:za-Hani"" v=""越南""/><tag k=""name:zea"" v=""Vietnam""/><tag k=""name:zh"" v=""越南""/><tag k=""name:zh-Hans"" v=""越南""/><tag k=""name:zh-Hant"" v=""越南""/><tag k=""name:zu"" v=""IViyetnami""/><tag k=""note"" v=""the boundary of Vietnam is partly based on straight baselines""/><tag k=""official_name"" v=""Cộng Hòa Xã Hội Chủ Nghĩa Việt Nam""/><tag k=""official_name:ca"" v=""República Socialista del Vietnam""/><tag k=""official_name:cs"" v=""Vietnamská socialistická republika""/><tag k=""official_name:en"" v=""Socialist Republic of Vietnam""/><tag k=""official_name:eo"" v=""Socialista Respubliko de Vjetnamio""/><tag k=""official_name:es"" v=""República Socialista de Vietnam""/><tag k=""official_name:hr"" v=""Socijalistička Republika Vijetnam""/><tag k=""official_name:ru"" v=""Социалистическая Республика Вьетнам""/><tag k=""official_name:vi"" v=""Cộng Hòa Xã Hội Chủ Nghĩa Việt Nam""/><tag k=""official_name:vi-Hani"" v=""共和社會主義越南""/><tag k=""official_name:zh"" v=""越南社会主义共和国 / 越南社會主義共和國""/><tag k=""official_name:zh-Hans"" v=""越南社会主义共和国""/><tag k=""official_name:zh-Hant"" v=""越南社會主義共和國""/><tag k=""type"" v=""boundary""/><tag k=""wikidata"" v=""Q881""/><tag k=""wikipedia"" v=""vi:Việt Nam""/>"
1435294,"<member type=""way"" ref=""165295187"" role=""outer""/><member type=""way"" ref=""263632055"" role=""inner""/><member type=""way"" ref=""1162665392"" role=""inner""/><member type=""way"" ref=""802157440"" role=""inner""/><member type=""way"" ref=""1162662141"" role=""inner""/><member type=""way"" ref=""1162662139"" role=""inner""/><member type=""way"" ref=""1162662135"" role=""inner""/><member type=""way"" ref=""1162662136"" role=""inner""/><member type=""way"" ref=""1162662137"" role=""inner""/><member type=""way"" ref=""1162662138"" role=""inner""/><member type=""way"" ref=""1060129521"" role=""inner""/><member type=""way"" ref=""1275090299"" role=""inner""/><member type=""way"" ref=""1275090298"" role=""inner""/><member type=""way"" ref=""1275090317"" role=""inner""/><member type=""way"" ref=""1275090318"" role=""inner""/><member type=""way"" ref=""1275090319"" role=""inner""/><member type=""way"" ref=""1275090320"" role=""inner""/><member type=""way"" ref=""1275090321"" role=""inner""/><tag k=""highway"" v=""pedestrian""/><tag k=""type"" v=""multipolygon""/>"
1904421,"<member type=""way"" ref=""532477271"" role=""outer""/><member type=""way"" ref=""205798559"" role=""outer""/><member type=""way"" ref=""205958089"" role=""outer""/><member type=""way"" ref=""205798558"" role=""outer""/><member type=""relation"" ref=""7153857"" role=""subarea""/><tag k=""ISO3166-2"" v=""VN-39""/><tag k=""admin_level"" v=""4""/><tag k=""boundary"" v=""administrative""/><tag k=""is_in:country_code"" v=""VN""/><tag k=""name"" v=""Tỉnh Đồng Nai""/><tag k=""name:en"" v=""Đồng Nai Province""/><tag k=""name:id"" v=""Provinsi Đồng Nai""/><tag k=""name:ja"" v=""ドンナイ""/><tag k=""name:ko"" v=""동나이성""/><tag k=""name:vi"" v=""Tỉnh Đồng Nai""/><tag k=""name:vi-Hani"" v=""省垌狔""/><tag k=""name:zh"" v=""同奈省""/><tag k=""population"" v=""2665100""/><tag k=""type"" v=""boundary""/><tag k=""wikidata"" v=""Q33271""/><tag k=""wikipedia"" v=""vi:Đồng Nai""/>"
1973756,"<member type=""node"" ref=""369486734"" role=""admin_centre""/><member type=""relation"" ref=""2587287"" role=""subarea""/><member type=""relation"" ref=""3819816"" role=""subarea""/><member type=""relation"" ref=""2778323"" role=""subarea""/><member type=""relation"" ref=""3820432"" role=""subarea""/><member type=""relation"" ref=""2764875"" role=""subarea""/><member type=""relation"" ref=""6888445"" role=""subarea""/><member type=""relation"" ref=""6228121"" role=""subarea""/><member type=""relation"" ref=""7157268"" role=""subarea""/><member type=""relation"" ref=""7157197"" role=""subarea""/><member type=""relation"" ref=""11721235"" role=""subarea""/><member type=""way"" ref=""532477271"" role=""outer""/><member type=""way"" ref=""205798559"" role=""outer""/><member type=""way"" ref=""205958089"" role=""outer""/><member type=""way"" ref=""205798558"" role=""outer""/><tag k=""ISO3166-2"" v=""VN-SG""/><tag k=""admin_level"" v=""4""/><tag k=""alt_name"" v=""Sài Gòn""/><tag k=""alt_name:cs"" v=""Saigon""/><tag k=""alt_name:de"" v=""Saigon""/><tag k=""alt_name:en"" v=""Saigon""/><tag k=""alt_name:fr"" v=""Saigon""/><tag k=""alt_name:hr"" v=""Saigon""/><tag k=""alt_name:ja"" v=""サイゴン""/><tag k=""alt_name:ko"" v=""사이공""/><tag k=""alt_name:la"" v=""Saigonia""/><tag k=""alt_name:ru"" v=""Сайгон""/><tag k=""alt_name:th"" v=""ไซ่ง่อน""/><tag k=""alt_name:vi"" v=""Sài Gòn""/><tag k=""alt_name:vi-Hani"" v=""柴棍""/><tag k=""alt_name:zh"" v=""西贡""/><tag k=""alt_name:zh-Hans"" v=""西贡""/><tag k=""alt_name:zh-Hant"" v=""西貢""/><tag k=""boundary"" v=""administrative""/><tag k=""is_in:country_code"" v=""VN""/><tag k=""name"" v=""Thành phố Hồ Chí Minh""/><tag k=""name:cs"" v=""Ho Či Minovo Město""/><tag k=""name:en"" v=""Ho Chi Minh City""/><tag k=""name:eo"" v=""Ho-Chi-Minh-urbo""/><tag k=""name:fr"" v=""Hô Chi Minh-Ville""/><tag k=""name:hr"" v=""Grad Ho Chi Minh""/><tag k=""name:ja"" v=""ホーチミン市""/><tag k=""name:ko"" v=""호치민시""/><tag k=""name:ms"" v=""Kota Ho Chi Minh""/><tag k=""name:nl"" v=""Ho Chi Minhstad""/><tag k=""name:ru"" v=""Хошимин""/><tag k=""name:sk"" v=""Hočiminovo Mesto""/><tag k=""name:sr"" v=""Хо Ши Мин""/><tag k=""name:th"" v=""นครโฮจิมินห์""/><tag k=""name:vi"" v=""Thành phố Hồ Chí Minh""/><tag k=""name:vi-Hani"" v=""庯胡志明""/><tag k=""name:vi-US"" v=""Sài Gòn""/><tag k=""name:zh"" v=""胡志明市""/><tag k=""name:zh-Hans"" v=""胡志明市""/><tag k=""name:zh-Hant"" v=""胡志明市""/><tag k=""official_name"" v=""Ho Chi Minh City Saigon""/><tag k=""population"" v=""7521100""/><tag k=""ref"" v=""TPHCM""/><tag k=""short_name"" v=""Tp. HCM""/><tag k=""short_name:en"" v=""HCMC""/><tag k=""short_name:vi"" v=""Tp. HCM""/><tag k=""type"" v=""boundary""/><tag k=""wikidata"" v=""Q1854""/><tag k=""wikipedia"" v=""vi:Thành phố Hồ Chí Minh""/><tag k=""wikivoyage"" v=""en:Ho Chi Minh City""/>"
2204742,"<member type=""way"" ref=""165491094"" role=""outer""/><member type=""way"" ref=""165491085"" role=""inner""/><tag k=""building"" v=""yes""/><tag k=""smoking"" v=""yes""/><tag k=""tourism"" v=""hotel""/><tag k=""type"" v=""multipolygon""/>"
2210236,"<member type=""way"" ref=""377269912"" role=""outer""/><member type=""way"" ref=""377269913"" role=""outer""/><member type=""way"" ref=""262891256"" role=""outer""/><member type=""way"" ref=""173920146"" role=""outer""/><tag k=""natural"" v=""water""/><tag k=""type"" v=""multipolygon""/><tag k=""water"" v=""river""/>"
2531662,"<member type=""way"" ref=""39514796"" role=""outer""/><tag k=""addr:housename"" v=""Tòa án Nhân dân TP.HCM""/><tag k=""addr:housenumber"" v=""131""/><tag k=""addr:street"" v=""Nam Kỳ Khởi Nghĩa""/><tag k=""amenity"" v=""courthouse""/><tag k=""building"" v=""yes""/><tag k=""building:colour"" v=""#fad19d""/><tag k=""height"" v=""13""/><tag k=""int_name"" v=""Ho Chi Minh City People&#39;s Court""/><tag k=""name"" v=""Tòa án Nhân dân TP.HCM""/><tag k=""name:en"" v=""Ho Chi Minh City People&#39;s Court""/><tag k=""name:id"" v=""Pengadilan Rakyat Kota Ho Chi Minh""/><tag k=""name:vi"" v=""Tòa án Nhân dân TP.HCM""/><tag k=""name:zh"" v=""胡志明市人民法庭""/><tag k=""old_name"" v=""Saigon Courthouse""/><tag k=""type"" v=""multipolygon""/>"
2559086,"<member type=""node"" ref=""10166265722"" role=""label""/><member type=""way"" ref=""189233380"" role=""outer""/><member type=""way"" ref=""189393374"" role=""outer""/><member type=""way"" ref=""189393368"" role=""outer""/><member type=""way"" ref=""189393381"" role=""outer""/><tag k=""admin_level"" v=""8""/><tag k=""boundary"" v=""administrative""/><tag k=""name"" v=""Phường Cầu Kho""/><tag k=""name:en"" v=""Cau Kho Ward""/><tag k=""name:zh"" v=""梂庫坊""/><tag k=""type"" v=""boundary""/><tag k=""wikidata"" v=""Q10752372""/><tag k=""wikipedia"" v=""vi:Cầu Kho""/>"
2561415,"<member type=""node"" ref=""10166265726"" role=""label""/><member type=""way"" ref=""192038542"" role=""outer""/><member type=""way"" ref=""189393368"" role=""outer""/><member type=""way"" ref=""189393366"" role=""outer""/><member type=""way"" ref=""189618476"" role=""outer""/><member type=""way"" ref=""1272225910"" role=""outer""/><member type=""way"" ref=""189618478"" role=""outer""/><tag k=""admin_level"" v=""8""/><tag k=""boundary"" v=""administrative""/><tag k=""name"" v=""Phường Cô Giang""/><tag k=""name:en"" v=""Co Giang Ward""/><tag k=""name:ko"" v=""꼬장방""/><tag k=""name:zh"" v=""姑江坊""/><tag k=""type"" v=""boundary""/><tag k=""wikidata"" v=""Q10751928""/><tag k=""wikipedia"" v=""vi:Cô Giang (phường)""/>"
2561568,"<member type=""node"" ref=""10166265724"" role=""label""/><member type=""way"" ref=""189618477"" role=""outer""/><member type=""way"" ref=""189618478"" role=""outer""/><member type=""way"" ref=""1272225910"" role=""outer""/><member type=""way"" ref=""189619667"" role=""outer""/><member type=""way"" ref=""192680136"" role=""outer""/><member type=""way"" ref=""189619668"" role=""outer""/><tag k=""admin_level"" v=""8""/><tag k=""boundary"" v=""administrative""/><tag k=""name"" v=""Phường Cầu Ông Lãnh""/><tag k=""name:en"" v=""Cau Ong Lanh Ward""/><tag k=""name:zh"" v=""梂翁領坊""/><tag k=""type"" v=""boundary""/><tag k=""wikidata"" v=""Q10752443""/><tag k=""wikipedia"" v=""vi:Cầu Ông Lãnh (phường)""/>"
